;0;1;2;3;4;5;6;7;8
0;"Акционерное общество ""Завод АНД ГАЗТРУБПЛАСТ"" (АО ""ГТП"")";Пв;П;9 - Х5CrNi18-10 (EN 1.4301, AISI 304), X2CrNiMo17-12-2 (EN 1.4404, AISI 316L);КО, ОХНВП;АЦСТ-87-02164;17.09.2024;АЦСТ-87;открыть
1;"АО ""Криогенмонтаж""";Пв;РАД;9;ОХНВП;АЦСТ-87-02102;08.05.2024;АЦСТ-87;открыть
2;"АО ""Криогенмонтаж""";Пв;РД;1(М01);СК;АЦСТ-87-02092;06.04.2024;АЦСТ-87;открыть
3;АО ПК «ТиС»;Пв;ЗН;30;ГО;АЦСТ-87-02188;16.11.2024;АЦСТ-87;открыть
4;АО ПК «ТиС»;Пв;РД;1, 1*;КО;АЦСТ-87-02187;16.11.2024;АЦСТ-87;открыть
5;АО ПК «ТиС»;Пв;РД;1;ГО;АЦСТ-87-02186;16.11.2024;АЦСТ-87;открыть
6;АО «ГАЗСТРОЙ»;Пв;Г;1 - Ст2пс, Ст3пс и другие стали, указанные в ПТД;ГО;АЦСТ-87-02076;20.03.2024;АЦСТ-87;открыть
7;АО «ГАЗСТРОЙ»;Пв;РД;1 - 20 и другие стали, указанные в ПТД;ГО;АЦСТ-87-02075;20.03.2024;АЦСТ-87;открыть
8;АО «НПП Криосервис»;Пв;РАД;9;ОХНВП;АЦСТ-87-02192;02.12.2024;АЦСТ-87;открыть
9;АО «НПП Криосервис»;Пв;РД;1, 9, 9+1;ОХНВП;АЦСТ-87-02189;18.11.2024;АЦСТ-87;открыть
10;АО «ТеплоИндустрия»;Пв;НИ;30;ГО;АЦСТ-87-02081;24.03.2024;АЦСТ-87;открыть
11;"ОАО ""МПНУ ЭНЕРГОТЕХМОНТАЖ""";Пв;РАД;1, 9;ГО;АЦСТ-87-02115;10.06.2024;АЦСТ-87;открыть
12;ОАО «Демиховский машиностроительный завод» (ОАО «ДМЗ»);Пв;РД;1 - Ст3сп, Ст3пс, 20, 09Г2С и другие, указанные в ПТД;ПТО;АЦСТ-87-02096;09.04.2024;АЦСТ-87;открыть
13;ОАО «Демиховский машиностроительный завод» (ОАО «ДМЗ»);Пв;РД;1 - Ст3сп, Ст3пс, 20, 09Г2С и другие, указанные в ПТД;ПТО;АЦСТ-87-02095;09.04.2024;АЦСТ-87;открыть
14;"ООО ""Верейский Механический Завод"" (ООО ""ВМЗ"")";Пв;МП;9 – 12Х18Н10Т, TP 316L (1,4404) и другие, указанные в ПТД, 1;ОХНВП;АЦСТ-87-02163;16.09.2024;АЦСТ-87;открыть
15;"ООО ""Верейский Механический Завод"" (ООО ""ВМЗ"")";Пв;РАД;9, 1;ОХНВП;АЦСТ-87-02162;15.09.2024;АЦСТ-87;открыть
16;"ООО ""Газ""";Пв;Г;1;ГО;АЦСТ-87-02085;24.03.2024;АЦСТ-87;открыть
17;"ООО ""Газводстрой""";Пв;НИ;30;ГО;АЦСТ-87-02121;02.07.2024;АЦСТ-87;открыть
18;"ООО ""Газводстрой""";Пв;ЗН;30;ГО;АЦСТ-87-02120;02.07.2024;АЦСТ-87;открыть
19;"ООО ""ГазпроектсервисМ""";Пв;Г;1;ГО;АЦСТ-87-02105;12.05.2024;АЦСТ-87;открыть
20;"ООО ""Газстройсервис""";Пв;ЗН;30-ПЭ80, ПЭ100;ГО;АЦСТ-87-02111;15.05.2024;АЦСТ-87;открыть
21;"ООО ""Газстройсервис""";Пв;Г;1 - Ст2пс, Ст3пс и другие стали, указанные в ПТД;ГО;АЦСТ-87-02110;15.05.2024;АЦСТ-87;открыть
22;"ООО ""ГАЗХОЛОДТЕХНИКА""";Пв;РАД;1 - Ст3сп, 20, 09Г2С и другие, указанные в ПТД, 9 - 08Х18Н10Т, 12Х18Н10Т и другие, указанные в ПТД, 9+1 - (08Х18Н10Т, 12Х18Н10Т) + (Ст3сп, 20, 09Г2С) и другие, указанные в ПТД;НГДО;АЦСТ-87-02136;20.07.2024;АЦСТ-87;открыть
23;"ООО ""ГАЗХОЛОДТЕХНИКА""";Пв;МП;1- 20 и другие, указанные в ПТД;СК;АЦСТ-87-02112;19.05.2024;АЦСТ-87;открыть
24;"ООО ""Гео-Газ-М""";Пв;ЗН;30-ПЭ80, ПЭ100;ГО;АЦСТ-87-02144;06.08.2024;АЦСТ-87;открыть
